Raw ADC: 3152.0 | Calculated Volume: 11.55 ml
Raw ADC: 3145.0 | Calculated Volume: 11.69 ml
Raw ADC: 3152.0 | Calculated Volume: 11.55 ml
Raw ADC: 3156.0 | Calculated Volume: 11.48 ml
Raw ADC: 3173.0 | Calculated Volume: 11.16 ml
Raw ADC: 3172.0 | Calculated Volume: 11.17 ml
Raw ADC: 3165.0 | Calculated Volume: 11.31 ml
Raw ADC: 3156.0 | Calculated Volume: 11.48 ml
Raw ADC: 3156.0 | Calculated Volume: 11.48 ml
Raw ADC: 3158.0 | Calculated Volume: 11.44 ml
Raw ADC: 3172.0 | Calculated Volume: 11.17 ml
Raw ADC: 3173.0 | Calculated Volume: 11.16 ml
Raw ADC: 3164.0 | Calculated Volume: 11.33 ml
Raw ADC: 3156.0 | Calculated Volume: 11.48 ml
Raw ADC: 3152.0 | Calculated Volume: 11.55 ml
Raw ADC: 3152.0 | Calculated Volume: 11.55 ml
Raw ADC: 3157.0 | Calculated Volume: 11.46 ml
Raw ADC: 3168.0 | Calculated Volume: 11.25 ml
--------------------------------------------------
BATCH COMPLETE! AVERAGE ADC: 3157.88 | AVERAGE VOLUME: 11.44 ml
--------------------------------------------------

Raw ADC: 2672.0 | Calculated Volume: 20.63 ml
Raw ADC: 2676.0 | Calculated Volume: 20.56 ml
Raw ADC: 2672.0 | Calculated Volume: 20.63 ml
Raw ADC: 2664.0 | Calculated Volume: 20.78 ml
Raw ADC: 2664.0 | Calculated Volume: 20.78 ml
Raw ADC: 2676.0 | Calculated Volume: 20.56 ml
Raw ADC: 2684.0 | Calculated Volume: 20.41 ml
Raw ADC: 2687.0 | Calculated Volume: 20.35 ml
Raw ADC: 2684.0 | Calculated Volume: 20.41 ml
Raw ADC: 2677.0 | Calculated Volume: 20.54 ml
Raw ADC: 2674.0 | Calculated Volume: 20.59 ml
Raw ADC: 2676.0 | Calculated Volume: 20.56 ml
Raw ADC: 2682.0 | Calculated Volume: 20.44 ml
Raw ADC: 2692.0 | Calculated Volume: 20.25 ml
Raw ADC: 2696.0 | Calculated Volume: 20.18 ml
Raw ADC: 2692.0 | Calculated Volume: 20.25 ml
Raw ADC: 2682.0 | Calculated Volume: 20.44 ml
Raw ADC: 2684.0 | Calculated Volume: 20.41 ml
Raw ADC: 2684.0 | Calculated Volume: 20.41 ml
Raw ADC: 2697.0 | Calculated Volume: 20.16 ml
Raw ADC: 2704.0 | Calculated Volume: 20.03 ml
Raw ADC: 2704.0 | Calculated Volume: 20.03 ml
Raw ADC: 2698.0 | Calculated Volume: 20.14 ml
Raw ADC: 2688.0 | Calculated Volume: 20.33 ml
Raw ADC: 2684.0 | Calculated Volume: 20.41 ml
Raw ADC: 2694.0 | Calculated Volume: 20.22 ml
Raw ADC: 2706.0 | Calculated Volume: 19.99 ml
